year,hour_int,nb_daily_avg,sb_daily_avg,total_daily_ridership
2023,5,5992.8328767123285,9505.98904109589,15498.821917808218
2023,6,10801.01095890411,14064.109589041096,24865.120547945204
2023,7,12180.594520547946,15050.865753424658,27231.460273972603
2023,8,10234.624657534247,12847.030136986301,23081.654794520546
2023,9,8664.260273972603,10643.980821917808,19308.24109589041
2023,10,7502.635616438356,8732.145205479452,16234.780821917808
2023,11,7606.194520547945,8767.542465753424,16373.73698630137
2023,12,7816.901369863013,8668.783561643835,16485.684931506847
2023,13,7634.402739726027,7933.380821917808,15567.783561643835
2023,14,8230.394520547945,7621.1205479452055,15851.51506849315
2023,15,10298.534246575342,8433.64109589041,18732.17534246575
2023,16,13792.315068493152,10864.106849315069,24656.42191780822
2023,17,16651.35616438356,12769.82191780822,29421.17808219178
2023,18,16263.887671232877,12277.21095890411,28541.098630136985
2023,19,13268.975342465754,10470.964383561644,23739.939726027398
2023,20,10008.934246575342,8832.216438356165,18841.150684931505
2023,21,7981.717808219178,4585.972602739726,12567.690410958905
2023,22,1985.9232876712329,17.983561643835618,2003.9068493150685
2024,5,6740.446575342466,9847.082191780823,16587.528767123287
2024,6,11270.024657534246,15018.345205479452,26288.3698630137
2024,7,13092.901369863013,15834.83287671233,28927.734246575343
2024,8,10687.624657534247,13556.021917808219,24243.646575342464
2024,9,8956.257534246575,11012.249315068493,19968.50684931507
2024,10,7685.271232876712,8852.375342465753,16537.646575342464
2024,11,7864.53698630137,8994.065753424658,16858.60273972603
2024,12,8190.446575342466,9083.830136986302,17274.276712328767
2024,13,7723.378082191781,8107.18904109589,15830.56712328767
2024,14,8513.742465753425,7959.947945205479,16473.690410958905
2024,15,10756.230136986302,8872.191780821919,19628.42191780822
2024,16,14417.745205479452,11308.035616438356,25725.780821917808
2024,17,17809.81917808219,13591.808219178081,31401.627397260272
2024,18,17402.08219178082,13101.953424657535,30504.035616438356
2024,19,14365.51506849315,11134.578082191782,25500.09315068493
2024,20,10632.597260273973,9189.139726027397,19821.73698630137
2024,21,8344.698630136987,4709.6,13054.298630136987
2024,22,2053.646575342466,46.0986301369863,2099.745205479452
2025,5,6751.6630136986305,9602.841095890411,16354.504109589041
2025,6,11653.720547945206,15415.07397260274,27068.79452054795
2025,7,13906.632876712329,16533.821917808218,30440.45479452055
2025,8,11373.950684931508,14025.397260273972,25399.34794520548
2025,9,9301.687671232878,11230.712328767124,20532.4
2025,10,7769.186301369863,8832.597260273973,16601.783561643835
2025,11,8010.750684931507,8970.868493150685,16981.61917808219
2025,12,8278.4301369863,9057.446575342467,17335.87671232877
2025,13,7918.457534246575,8268.312328767122,16186.769863013698
2025,14,8617.786301369862,8117.230136986302,16735.016438356164
2025,15,10898.698630136987,9177.161643835616,20075.860273972605
2025,16,14920.83287671233,11897.380821917808,26818.213698630138
2025,17,18606.04109589041,14722.295890410958,33328.336986301365
2025,18,18201.8301369863,14178.183561643835,32380.013698630137
2025,19,15111.282191780821,11933.005479452055,27044.287671232876
2025,20,11046.16712328767,9367.471232876713,20413.63835616438
2025,21,8441.676712328766,5790.775342465753,14232.45205479452
2025,22,3569.3205479452054,1323.1041095890412,4892.424657534247
